GEO_ID,NAME,S1810_C01_040E
37001,"Alamance County, North Carolina",27008
37003,"Alexander County, North Carolina",5690
37005,"Alleghany County, North Carolina",1462
37007,"Anson County, North Carolina",3654
37009,"Ashe County, North Carolina",3705
37011,"Avery County, North Carolina",1911
37013,"Beaufort County, North Carolina",7254
37015,"Bertie County, North Carolina",2562
37017,"Bladen County, North Carolina",5197
37019,"Brunswick County, North Carolina",15332
37021,"Buncombe County, North Carolina",35227
37023,"Burke County, North Carolina",12555
37025,"Cabarrus County, North Carolina",39939
37027,"Caldwell County, North Carolina",12566
37029,"Camden County, North Carolina",1908
37031,"Carteret County, North Carolina",9343
37033,"Caswell County, North Carolina",3221
37035,"Catawba County, North Carolina",26329
37037,"Chatham County, North Carolina",11116
37039,"Cherokee County, North Carolina",3662
37041,"Chowan County, North Carolina",2266
37043,"Clay County, North Carolina",1502
37045,"Cleveland County, North Carolina",15964
37047,"Columbus County, North Carolina",8984
37049,"Craven County, North Carolina",15785
37051,"Cumberland County, North Carolina",56849
37053,"Currituck County, North Carolina",4411
37055,"Dare County, North Carolina",5407
37057,"Davidson County, North Carolina",27546
37059,"Davie County, North Carolina",6938
37061,"Duplin County, North Carolina",10620
37063,"Durham County, North Carolina",45261
37065,"Edgecombe County, North Carolina",8945
37067,"Forsyth County, North Carolina",64269
37069,"Franklin County, North Carolina",10985
37071,"Gaston County, North Carolina",36671
37073,"Gates County, North Carolina",1900
37075,"Graham County, North Carolina",1370
37077,"Granville County, North Carolina",9226
37079,"Greene County, North Carolina",3262
37081,"Guilford County, North Carolina",86687
37083,"Halifax County, North Carolina",8229
37085,"Harnett County, North Carolina",25031
37087,"Haywood County, North Carolina",8109
37089,"Henderson County, North Carolina",16440
37091,"Hertford County, North Carolina",3454
37093,"Hoke County, North Carolina",10211
37095,"Hyde County, North Carolina",838
37097,"Iredell County, North Carolina",30886
37099,"Jackson County, North Carolina",5156
37101,"Johnston County, North Carolina",37996
37103,"Jones County, North Carolina",1377
37105,"Lee County, North Carolina",10840
37107,"Lenoir County, North Carolina",9181
37109,"Lincoln County, North Carolina",13479
37111,"McDowell County, North Carolina",7203
37113,"Macon County, North Carolina",4702
37115,"Madison County, North Carolina",2912
37117,"Martin County, North Carolina",3431
37119,"Mecklenburg County, North Carolina",183803
37121,"Mitchell County, North Carolina",2104
37123,"Montgomery County, North Carolina",4423
37125,"Moore County, North Carolina",15088
37127,"Nash County, North Carolina",15613
37129,"New Hanover County, North Carolina",31392
37131,"Northampton County, North Carolina",2674
37133,"Onslow County, North Carolina",30186
37135,"Orange County, North Carolina",21905
37137,"Pamlico County, North Carolina",1516
37139,"Pasquotank County, North Carolina",6197
37141,"Pender County, North Carolina",10071
37143,"Perquimans County, North Carolina",1933
37145,"Person County, North Carolina",6123
37147,"Pitt County, North Carolina",27965
37149,"Polk County, North Carolina",2693
37151,"Randolph County, North Carolina",24626
37153,"Richmond County, North Carolina",7519
37155,"Robeson County, North Carolina",24362
37157,"Rockingham County, North Carolina",13895
37159,"Rowan County, North Carolina",23406
37161,"Rutherford County, North Carolina",10381
37163,"Sampson County, North Carolina",11445
37165,"Scotland County, North Carolina",5806
37167,"Stanly County, North Carolina",10058
37169,"Stokes County, North Carolina",6846
37171,"Surry County, North Carolina",11669
37173,"Swain County, North Carolina",2348
37175,"Transylvania County, North Carolina",4060
37177,"Tyrrell County, North Carolina",441
37179,"Union County, North Carolina",49619
37181,"Vance County, North Carolina",7841
37183,"Wake County, North Carolina",191636
37185,"Warren County, North Carolina",2741
37187,"Washington County, North Carolina",1857
37189,"Watauga County, North Carolina",5309
37191,"Wayne County, North Carolina",21152
37193,"Wilkes County, North Carolina",10629
37195,"Wilson County, North Carolina",13962
37197,"Yadkin County, North Carolina",6020
37199,"Yancey County, North Carolina",2538
